,Unnamed: 0,County,State,Population2019,Abbrev,Code
341,341,Escambia,Florida,318316,Fla.,FL
342,342,Flagler,Florida,115081,Fla.,FL
343,343,Franklin,Florida,12125,Fla.,FL
344,344,Gadsden,Florida,45660,Fla.,FL
345,345,Gilchrist,Florida,18582,Fla.,FL
346,346,Glades,Florida,13811,Fla.,FL
347,347,Gulf,Florida,13639,Fla.,FL
348,348,Hamilton,Florida,14428,Fla.,FL
349,349,Hardee,Florida,26937,Fla.,FL
350,350,Hendry,Florida,42022,Fla.,FL
351,351,Hernando,Florida,193920,Fla.,FL
352,352,Highlands,Florida,106221,Fla.,FL
353,353,Hillsborough,Florida,1471968,Fla.,FL
354,354,Holmes,Florida,19617,Fla.,FL
355,355,Indian River,Florida,159923,Fla.,FL
356,356,Jackson,Florida,46414,Fla.,FL
357,357,Jefferson,Florida,14246,Fla.,FL
358,358,Lafayette,Florida,8422,Fla.,FL
359,359,Lake,Florida,367118,Fla.,FL
360,360,Lee,Florida,770577,Fla.,FL
361,361,Leon,Florida,293582,Fla.,FL
362,362,Levy,Florida,41503,Fla.,FL
363,363,Liberty,Florida,8354,Fla.,FL
364,364,Madison,Florida,18493,Fla.,FL
365,365,Manatee,Florida,403253,Fla.,FL
366,366,Marion,Florida,365579,Fla.,FL
367,367,Martin,Florida,161000,Fla.,FL
368,368,Miami-Dade,Florida,2716940,Fla.,FL
369,369,Monroe,Florida,74228,Fla.,FL
370,370,Nassau,Florida,88625,Fla.,FL
371,371,Okaloosa,Florida,210738,Fla.,FL
372,372,Okeechobee,Florida,42168,Fla.,FL
373,373,Orange,Florida,1393452,Fla.,FL
374,374,Osceola,Florida,375751,Fla.,FL
375,375,Palm Beach,Florida,1496770,Fla.,FL
376,376,Pasco,Florida,553947,Fla.,FL
377,377,Pinellas,Florida,974996,Fla.,FL
378,378,Polk,Florida,724777,Fla.,FL
379,379,Putnam,Florida,74521,Fla.,FL
380,380,St. Johns,Florida,264672,Fla.,FL
381,381,St. Lucie,Florida,328297,Fla.,FL
382,382,Santa Rosa,Florida,184313,Fla.,FL
383,383,Sarasota,Florida,433742,Fla.,FL
384,384,Seminole,Florida,471826,Fla.,FL
385,385,Sumter,Florida,132420,Fla.,FL
386,386,Suwannee,Florida,44417,Fla.,FL
387,387,Taylor,Florida,21569,Fla.,FL
388,388,Union,Florida,15237,Fla.,FL
389,389,Volusia,Florida,553284,Fla.,FL
390,390,Wakulla,Florida,33739,Fla.,FL
391,391,Walton,Florida,74071,Fla.,FL
392,392,Washington,Florida,25473,Fla.,FL
393,393,Appling,Georgia,18386,Ga.,GA
394,394,Atkinson,Georgia,8165,Ga.,GA
395,395,Bacon,Georgia,11164,Ga.,GA
396,396,Baker,Georgia,3038,Ga.,GA
397,397,Baldwin,Georgia,44890,Ga.,GA
398,398,Banks,Georgia,19234,Ga.,GA
399,399,Barrow,Georgia,83240,Ga.,GA
400,400,Bartow,Georgia,107738,Ga.,GA
401,401,Ben Hill,Georgia,16700,Ga.,GA
402,402,Berrien,Georgia,19397,Ga.,GA
403,403,Bibb,Georgia,153159,Ga.,GA
404,404,Bleckley,Georgia,12873,Ga.,GA
405,405,Brantley,Georgia,19109,Ga.,GA
406,406,Brooks,Georgia,15457,Ga.,GA
407,407,Bryan,Georgia,39627,Ga.,GA
408,408,Bulloch,Georgia,79608,Ga.,GA
409,409,Burke,Georgia,22383,Ga.,GA
410,410,Butts,Georgia,24936,Ga.,GA
411,411,Calhoun,Georgia,6189,Ga.,GA
412,412,Camden,Georgia,54666,Ga.,GA
413,413,Candler,Georgia,10803,Ga.,GA
414,414,Carroll,Georgia,119992,Ga.,GA
415,415,Catoosa,Georgia,67580,Ga.,GA
416,416,Charlton,Georgia,13392,Ga.,GA
417,417,Chatham,Georgia,289430,Ga.,GA
418,418,Chattahoochee,Georgia,10907,Ga.,GA
419,419,Chattooga,Georgia,24789,Ga.,GA
420,420,Cherokee,Georgia,258773,Ga.,GA
421,421,Clarke,Georgia,128331,Ga.,GA
422,422,Clay,Georgia,3045,Ga.,GA
423,423,Clayton,Georgia,292256,Ga.,GA
424,424,Clinch,Georgia,6618,Ga.,GA
425,425,Cobb,Georgia,760141,Ga.,GA
426,426,Coffee,Georgia,43273,Ga.,GA
427,427,Colquitt,Georgia,45600,Ga.,GA
428,428,Columbia,Georgia,156714,Ga.,GA
429,429,Cook,Georgia,17270,Ga.,GA
430,430,Coweta,Georgia,148509,Ga.,GA
431,431,Crawford,Georgia,12404,Ga.,GA
432,432,Crisp,Georgia,22372,Ga.,GA
433,433,Dade,Georgia,16116,Ga.,GA
434,434,Dawson,Georgia,26108,Ga.,GA
435,435,Decatur,Georgia,26404,Ga.,GA
436,436,DeKalb,Georgia,759297,Ga.,GA
437,437,Dodge,Georgia,20605,Ga.,GA
438,438,Dooly,Georgia,13390,Ga.,GA
439,439,Dougherty,Georgia,87956,Ga.,GA
440,440,Douglas,Georgia,146343,Ga.,GA
441,441,Early,Georgia,10190,Ga.,GA
442,442,Echols,Georgia,4006,Ga.,GA
443,443,Effingham,Georgia,64296,Ga.,GA
444,444,Elbert,Georgia,19194,Ga.,GA
445,445,Emanuel,Georgia,22646,Ga.,GA
446,446,Evans,Georgia,10654,Ga.,GA
447,447,Fannin,Georgia,26188,Ga.,GA
448,448,Fayette,Georgia,114421,Ga.,GA
449,449,Floyd,Georgia,98498,Ga.,GA
450,450,Forsyth,Georgia,244252,Ga.,GA
451,451,Franklin,Georgia,23349,Ga.,GA
452,452,Fulton,Georgia,1063937,Ga.,GA
453,453,Gilmer,Georgia,31369,Ga.,GA
454,454,Glascock,Georgia,2971,Ga.,GA
455,455,Glynn,Georgia,85292,Ga.,GA
456,456,Gordon,Georgia,57963,Ga.,GA
457,457,Grady,Georgia,24633,Ga.,GA
458,458,Greene,Georgia,18324,Ga.,GA
459,459,Gwinnett,Georgia,936250,Ga.,GA
460,460,Habersham,Georgia,45328,Ga.,GA
461,461,Hall,Georgia,204441,Ga.,GA
462,462,Hancock,Georgia,8457,Ga.,GA
463,463,Haralson,Georgia,29792,Ga.,GA
464,464,Harris,Georgia,35236,Ga.,GA
465,465,Hart,Georgia,26205,Ga.,GA
466,466,Heard,Georgia,11923,Ga.,GA
467,467,Henry,Georgia,234561,Ga.,GA
468,468,Houston,Georgia,157863,Ga.,GA
469,469,Irwin,Georgia,9416,Ga.,GA
470,470,Jackson,Georgia,72977,Ga.,GA
471,471,Jasper,Georgia,14219,Ga.,GA
472,472,Jeff Davis,Georgia,15115,Ga.,GA
473,473,Jefferson,Georgia,15362,Ga.,GA
474,474,Jenkins,Georgia,8676,Ga.,GA
475,475,Johnson,Georgia,9643,Ga.,GA
476,476,Jones,Georgia,28735,Ga.,GA
477,477,Lamar,Georgia,19077,Ga.,GA
478,478,Lanier,Georgia,10423,Ga.,GA
479,479,Laurens,Georgia,47546,Ga.,GA
480,480,Lee,Georgia,29992,Ga.,GA
481,481,Liberty,Georgia,61435,Ga.,GA
482,482,Lincoln,Georgia,7921,Ga.,GA
483,483,Long,Georgia,19559,Ga.,GA
484,484,Lowndes,Georgia,117406,Ga.,GA
485,485,Lumpkin,Georgia,33610,Ga.,GA
486,486,McDuffie,Georgia,21312,Ga.,GA
487,487,McIntosh,Georgia,14378,Ga.,GA
488,488,Macon,Georgia,12947,Ga.,GA
489,489,Madison,Georgia,29880,Ga.,GA
490,490,Marion,Georgia,8359,Ga.,GA
491,491,Meriwether,Georgia,21167,Ga.,GA
492,492,Miller,Georgia,5718,Ga.,GA
493,493,Mitchell,Georgia,21863,Ga.,GA
494,494,Monroe,Georgia,27578,Ga.,GA
495,495,Montgomery,Georgia,9172,Ga.,GA
496,496,Morgan,Georgia,19276,Ga.,GA
497,497,Murray,Georgia,40096,Ga.,GA
498,498,Muscogee,Georgia,195769,Ga.,GA
499,499,Newton,Georgia,111744,Ga.,GA
500,500,Oconee,Georgia,40280,Ga.,GA
501,501,Oglethorpe,Georgia,15259,Ga.,GA
502,502,Paulding,Georgia,168667,Ga.,GA
503,503,Peach,Georgia,27546,Ga.,GA
504,504,Pickens,Georgia,32591,Ga.,GA
505,505,Pierce,Georgia,19465,Ga.,GA
506,506,Pike,Georgia,18962,Ga.,GA
507,507,Polk,Georgia,42613,Ga.,GA
508,508,Pulaski,Georgia,11137,Ga.,GA
509,509,Putnam,Georgia,22119,Ga.,GA
510,510,Quitman,Georgia,2299,Ga.,GA
511,511,Rabun,Georgia,17137,Ga.,GA
512,512,Randolph,Georgia,6778,Ga.,GA
513,513,Richmond,Georgia,202518,Ga.,GA
514,514,Rockdale,Georgia,90896,Ga.,GA
515,515,Schley,Georgia,5257,Ga.,GA
516,516,Screven,Georgia,13966,Ga.,GA
517,517,Seminole,Georgia,8090,Ga.,GA
518,518,Spalding,Georgia,66703,Ga.,GA
519,519,Stephens,Georgia,25925,Ga.,GA
520,520,Stewart,Georgia,6621,Ga.,GA
521,521,Sumter,Georgia,29524,Ga.,GA
522,522,Talbot,Georgia,6195,Ga.,GA
523,523,Taliaferro,Georgia,1537,Ga.,GA
524,524,Tattnall,Georgia,25286,Ga.,GA
525,525,Taylor,Georgia,8020,Ga.,GA
526,526,Telfair,Georgia,15860,Ga.,GA
527,527,Terrell,Georgia,8531,Ga.,GA
528,528,Thomas,Georgia,44451,Ga.,GA
529,529,Tift,Georgia,40644,Ga.,GA
530,530,Toombs,Georgia,26830,Ga.,GA
531,531,Towns,Georgia,12037,Ga.,GA
532,532,Treutlen,Georgia,6901,Ga.,GA
533,533,Troup,Georgia,69922,Ga.,GA
534,534,Turner,Georgia,7985,Ga.,GA
535,535,Twiggs,Georgia,8120,Ga.,GA
536,536,Union,Georgia,24511,Ga.,GA
537,537,Upson,Georgia,26320,Ga.,GA
538,538,Walker,Georgia,69761,Ga.,GA
539,539,Walton,Georgia,94593,Ga.,GA
540,540,Ware,Georgia,35734,Ga.,GA
541,541,Warren,Georgia,5254,Ga.,GA
542,542,Washington,Georgia,20374,Ga.,GA
543,543,Wayne,Georgia,29927,Ga.,GA
544,544,Webster,Georgia,2607,Ga.,GA
545,545,Wheeler,Georgia,7855,Ga.,GA
546,546,White,Georgia,30798,Ga.,GA
547,547,Whitfield,Georgia,104628,Ga.,GA
548,548,Wilcox,Georgia,8635,Ga.,GA
549,549,Wilkes,Georgia,9777,Ga.,GA
550,550,Wilkinson,Georgia,8954,Ga.,GA
